snapshot_week,game_name,youtube_video_count,upload_velocity_7d,upload_velocity_30d,unique_creators,recent_video_avg_views,view_acceleration,short_video_ratio,title_update_freq,youtube_total_views,youtube_avg_views
2026-W12,Prison Life,50,1,12,39,45141.33,0.0566,0.04,0.3,30826663,616533.26
2026-W12,Work at a Pizza Place,50,2,3,39,137024.67,0.0566,0.02,0.0,111976233,2239524.66
2026-W12,Natural Disaster Survival,50,0,1,32,227646.0,0.0759,0.0,0.04,147234281,2944685.62
2026-W12,Piggy,50,7,20,32,123707.4,0.0121,0.04,0.16,308256490,6165129.8
2026-W12,Emergency Response: Liberty County,50,0,5,14,15143.2,0.0513,0.06,0.14,13348221,266964.42
2026-W12,Theme Park Tycoon 2,50,1,3,20,50787.0,0.0291,0.0,0.02,82049836,1640996.72
2026-W12,Deepwoken: Ironsworn,50,0,1,40,42046.0,0.7576,0.06,0.08,2761403,55228.06
2026-W12,Arsenal,50,0,6,28,238099.5,0.1166,0.06,0.04,91310609,1826212.18
2026-W12,Greenville,50,11,27,18,15437.52,0.2713,0.0,0.48,1725751,34515.02
2026-W12,Phantom Forces,50,2,2,27,3099.0,0.009,0.0,0.04,16597502,331950.04
2026-W12,Shindo Life,50,0,3,15,3389.0,0.0136,0.26,0.04,11752264,235045.28
2026-W12,Lumber Tycoon 2,50,1,2,12,4849.0,0.0126,0.02,0.04,18439994,368799.88
2026-W12,Da Hood,50,2,12,23,42814.5,0.09,0.0,0.02,18583679,371673.58
2026-W12,Pet Simulator X,50,2,2,15,11732.5,0.0047,0.0,0.06,121005850,2420117.0
2026-W12,Dungeon Quest!  RPG Adventure,50,0,4,18,104028.5,0.6115,0.02,0.06,8241603,164832.06
2026-W12,Epic Minigames,50,0,4,29,2990.5,0.0024,0.04,0.14,57539521,1150790.42
2026-W12,Ninja Legends,50,0,7,24,957.86,0.001,0.02,0.22,42875570,857511.4
2026-W12,Funky Friday,50,0,0,16,0.0,0.0,0.1,0.04,89557666,1791153.32
2026-W12,My Restaurant,50,0,1,29,1357.0,0.0014,0.0,0.1,48661269,973225.38
2026-W12,Speed Run 4,50,1,2,38,225469.0,0.0922,0.06,0.16,117818744,2356374.88
2026-W12,Super Golf,50,0,1,27,221827.0,0.4028,0.14,0.06,27209343,544186.86
2026-W12,Bad Business | FPS,50,2,6,25,11719.83,0.0718,0.02,0.34,7252503,145050.06
2026-W12,MeepCity,50,0,1,38,126852.0,0.0798,0.08,0.08,78042532,1560850.64
2026-W12,Giant Simulator,50,0,1,18,315.0,0.0007,0.04,0.1,23535082,470701.64
2026-W12,Vehicle Simulator,50,0,0,18,0.0,0.0,0.06,0.34,47257427,945148.54
2026-W13,Adopt Me,50,22,37,21,46276.51,0.062,0.04,0.36,11412268,228245.36
2026-W13,Blox Fruits,50,7,26,21,336766.46,0.1378,0.0,0.08,67410210,1348204.2
2026-W13,Brookhaven RP,50,0,6,22,582334.67,0.1776,0.0,0.02,147780098,2955601.96
2026-W13,RIVALS,50,25,43,28,294838.12,0.1721,0.0,0.06,24668430,493368.6
2026-W13,Murder Mystery 2,50,2,6,30,221318.33,0.0817,0.0,0.04,120565553,2411311.06
2026-W13,The Strongest Battlegrounds,50,10,19,22,100657.11,0.0331,0.0,0.04,96042242,1920844.84
