snapshot_time,universe_id,game_name,genre,genre_l1,genre_l2,playing_ccu,total_visits,favorited_count,up_votes,down_votes,like_ratio,favorites_per_1k_visits,favorites_per_visit,engagement_score,created_date,age_days,max_players,creator_name,creator_type,has_verified_badge,tier,is_breakout,breakout_year,ccu_rank
2026-03-18 20:47,2316994223,Pet Simulator X! 🐾,All,Simulation,Incremental Simulator,1325,8969942434,5961721,4206923,394609,0.9142,0.6646,0.00066463,0.00436886,2021-01-22,1880,12,BIG Games Pets,Group,True,breakout,True,2022.0,36
2026-03-18 20:47,848145103,Dungeon Quest! ⚔️ RPG Adventure,Fighting,RPG,Action RPG,1275,2315151773,5762587,1153287,101872,0.9188,2.4891,0.00248908,0.01635584,2018-09-25,2730,40,Dungeon Quest by Voldex,Group,False,mid,False,,37
2026-03-18 20:47,110181652,Epic Minigames ✨,All,Party & Casual,Minigame,1108,2304729639,8227256,2199599,232822,0.9043,3.5697,0.00356973,0.02263253,2015-07-29,3885,12,TypicalType,User,True,lower_mid,False,,38
2026-03-18 20:47,1335695570,⚡Ninja Legends,Fighting,Simulation,Incremental Simulator,1087,2138652242,4671015,1600269,130143,0.9248,2.1841,0.00218409,0.01412284,2019-09-22,2368,20,Scriptbloxian Studios,Group,True,top,True,2020.0,39
2026-03-18 20:47,2404080894,Funky Friday,All,Action,Music & Rhythm,1040,1963767285,4067493,1944947,211346,0.902,2.0713,0.00207127,0.01298054,2021-02-26,1845,20,Lyte Interactive,Group,True,lower_mid,False,,40
2026-03-18 20:47,1434220026,My Restaurant! 👨‍🍳,All,Simulation,Tycoon,711,879290993,2671932,1076254,98824,0.9159,3.0387,0.00303873,0.01828012,2019-12-06,2294,10,BIG Games™,Group,True,established,False,,41
2026-03-18 20:47,83858907,Speed Run 4,Adventure,Obby & Platformer,,504,1718803382,4511048,1024869,363054,0.7384,2.6245,0.00262453,0.01206321,2014-10-20,4166,30,Vurse,User,True,mid,False,,42
2026-03-18 20:47,1424449565,Super Golf!,Sports,Sports & Racing,Sports,312,245963360,953646,308510,78447,0.7973,3.8772,0.00387719,0.01776251,2019-11-29,2301,20,Nosniy Games,Group,True,mid,False,,43
2026-03-18 20:47,1168263273,[🎃] Bad Business | FPS ,FPS,Shooter,Deathmatch Shooter,158,544692346,2179437,776048,131015,0.8556,4.0012,0.00400123,0.01735235,2019-05-29,2484,30,Bad Business,Group,True,lower_mid,False,,44
2026-03-18 20:47,3183403065,[🤹APRIL FOOL'S🤡] AA,All,Strategy,Tower Defense,119,2507244687,1396939,720896,65142,0.9171,0.5572,0.00055716,0.00244635,2021-12-21,1548,30,Gomu,Group,False,established,False,,45
2026-03-18 20:47,140239261,🏠 MeepCity 🏠,Town and City,Roleplay & Avatar Sim,,74,16269162796,14758209,2882651,514151,0.8486,0.9071,0.00090713,0.0033237,2016-02-23,3675,40,alexnewtron,User,True,top,True,2016.0,46
